,Customer Type,Type of Travel,Class,satisfaction,Flight Distance,Inflight entertainment,Baggage handling,Arrival Delay in Minutes
0,1,1,1,1,460,5,4,18.0
1,2,2,2,1,235,1,3,6.0
2,1,2,2,2,1142,5,4,0.0
3,1,2,2,1,562,2,3,9.0
4,1,2,2,2,214,3,4,0.0
5,1,1,3,1,1180,1,4,0.0
6,1,1,3,1,1276,2,4,23.0
7,1,2,2,2,2035,5,5,0.0
8,1,2,2,1,853,1,1,0.0
9,2,2,3,1,1061,2,4,0.0
10,2,2,3,1,1182,2,5,0.0
11,1,1,1,1,308,1,5,0.0
12,1,2,3,1,834,1,3,8.0
13,1,1,3,2,946,4,2,0.0
14,1,1,3,1,453,2,2,35.0
15,2,2,3,1,486,4,4,0.0
16,1,2,2,2,2123,4,4,51.0
17,1,2,2,2,2075,5,5,10.0
18,1,2,2,2,2486,5,5,5.0
19,1,1,3,1,460,5,4,18.0
20,1,2,3,1,1174,2,3,4.0
21,1,1,3,1,208,5,3,0.0
22,1,1,3,1,752,3,5,29.0
23,1,1,3,1,2139,4,4,0.0
24,2,2,3,2,452,1,5,44.0
25,1,1,3,1,719,5,4,28.0
26,1,2,2,2,1561,4,3,0.0
27,1,2,1,2,315,4,4,8.0
28,1,2,2,1,3347,3,3,12.0
29,1,1,3,1,2342,3,3,0.0
30,1,2,2,2,819,5,3,0.0
31,2,2,3,1,1043,5,4,0.0
32,1,2,2,2,2611,3,5,120.0
33,1,1,3,1,1192,5,3,24.0
34,2,2,2,1,1182,1,3,0.0
35,1,2,3,1,349,1,3,1.0
36,2,2,2,1,883,5,5,0.0
37,1,1,1,1,550,2,4,20.0
38,1,1,3,2,302,4,4,31.0
39,2,2,2,1,354,1,4,0.0
40,1,2,2,2,1734,4,4,0.0
41,2,2,2,1,1452,3,5,23.0
42,1,2,2,2,296,4,4,0.0
43,1,2,2,2,2882,5,5,0.0
44,1,2,2,2,460,3,3,15.0
45,1,2,2,2,529,5,5,0.0
46,1,1,2,1,349,4,4,0.0
47,1,2,2,1,1522,1,3,0.0
48,1,2,2,2,612,5,5,0.0
49,1,1,3,1,1454,5,3,0.0
50,1,2,3,1,731,2,2,8.0
51,1,2,2,2,2076,4,4,1.0
52,1,2,3,2,309,5,5,0.0
53,1,1,3,1,775,4,3,0.0
54,1,1,3,1,861,4,4,10.0
55,1,2,2,2,3334,4,4,48.0
56,1,2,2,2,2496,5,5,5.0
57,1,2,2,2,602,5,5,0.0
58,2,2,2,1,308,4,4,26.0
59,2,2,3,1,446,4,4,0.0
60,2,2,2,1,216,3,4,0.0
61,1,2,2,2,3475,4,4,0.0
62,2,2,3,1,646,4,3,1.0
63,1,2,2,2,2501,5,5,0.0
64,1,2,2,2,2227,4,4,15.0
65,1,2,2,2,1426,4,4,0.0
66,1,1,3,1,190,4,4,0.0
67,1,2,2,2,1532,5,5,0.0
68,1,2,3,1,308,2,2,12.0
69,1,2,1,2,157,4,1,0.0
70,1,2,2,2,1506,5,5,0.0
71,1,2,1,1,205,3,1,49.0
72,2,2,2,1,895,5,4,2.0
73,1,1,1,1,516,2,5,37.0
74,1,1,3,1,909,1,5,0.0
75,2,2,2,2,1435,1,5,1.0
76,1,2,2,1,1190,2,2,6.0
77,1,1,3,2,1259,2,3,5.0
78,2,2,3,1,216,4,1,0.0
79,2,2,2,1,1670,3,3,0.0
80,1,2,2,2,3960,4,5,48.0
81,2,2,3,1,817,3,2,0.0
82,2,2,2,1,1670,5,4,8.0
83,2,2,2,2,861,1,4,0.0
84,1,2,2,2,406,4,4,50.0
85,1,2,1,2,404,4,2,3.0
86,1,1,1,1,500,5,5,0.0
87,1,1,3,1,689,5,5,0.0
88,1,2,2,2,3100,4,4,0.0
89,2,2,3,1,525,3,3,0.0
90,1,1,3,2,931,4,5,0.0
91,2,2,2,2,304,2,4,19.0
92,1,2,2,1,1896,4,3,72.0
93,1,2,1,2,261,5,5,0.0
94,1,2,3,2,347,3,3,11.0
95,1,2,3,2,1042,4,1,34.0
96,1,1,3,1,1773,5,3,18.0
97,1,1,2,1,342,3,3,0.0
98,1,1,1,1,297,5,1,62.0
99,2,2,2,2,883,3,4,27.0
100,1,1,3,1,332,3,5,52.0
101,1,2,2,2,2388,4,1,0.0
102,1,1,3,1,748,5,4,0.0
103,2,2,1,1,1080,3,3,0.0
104,2,2,2,2,231,5,4,0.0
105,1,1,3,1,551,4,4,0.0
106,2,2,3,1,972,1,4,0.0
107,1,1,3,1,265,5,2,23.0
108,2,2,3,1,488,1,5,0.0
109,1,1,3,1,1144,4,5,0.0
110,1,2,2,2,2332,4,4,3.0
111,1,2,2,1,3024,4,4,13.0
112,1,2,2,1,1750,1,2,0.0
113,1,1,3,1,483,5,3,82.0
114,1,2,2,2,2128,4,4,0.0
115,1,1,3,1,235,1,4,10.0
116,1,1,3,1,689,3,2,0.0
117,1,2,2,2,1852,2,2,0.0
118,2,2,3,1,372,3,4,23.0
119,1,2,2,1,3705,4,4,0.0
120,2,2,3,1,416,1,2,9.0
121,1,2,3,1,337,4,2,0.0
122,1,1,3,1,335,3,4,0.0
123,1,2,2,2,1400,4,4,9.0
124,1,1,3,1,2521,5,4,30.0
125,1,2,2,2,374,4,4,0.0
126,1,2,2,2,308,4,4,8.0
127,1,2,1,1,575,2,2,16.0
128,1,1,3,1,618,3,4,0.0
129,1,2,3,2,1304,4,4,0.0
130,2,2,2,2,351,2,4,11.0
131,1,1,3,1,549,3,5,3.0
132,1,2,2,1,3510,3,3,0.0
133,1,2,2,1,1620,3,2,0.0
134,1,1,3,1,326,1,1,0.0
135,1,2,2,2,588,5,5,0.0
136,1,2,2,2,1020,5,5,0.0
137,1,2,2,1,2903,3,2,0.0
138,1,2,2,1,2659,1,1,0.0
139,1,2,2,2,3037,4,1,0.0
140,1,1,3,2,2475,3,4,10.0
141,1,1,3,1,978,1,4,0.0
142,1,2,2,1,2568,3,3,0.0
143,1,1,2,1,371,1,1,0.0
144,2,2,3,1,791,5,3,6.0
145,1,1,3,1,480,5,3,6.0
146,1,2,2,2,1786,5,5,7.0
147,1,2,2,2,1849,3,3,7.0
148,1,2,2,2,3634,4,1,0.0
149,1,1,2,1,844,3,3,0.0
150,1,2,2,2,3094,2,2,10.0
151,1,2,2,1,3465,1,1,15.0
